mssv,lopsh,drl_hk1,drl_hk2,drl_hk3,drl_hk4,drl_hk5,drl_hk6,drl_hk7,drl_hk8,drl_hk9,drl_hk10,drl_hk11,drl_hk12,drl_hk13,drl_hk14
06C6AAD0XPvAibaEXe+sfU1lcH9y3zgRyMrp1zMy, ,,81.0,81.0,,,,,,,,,,,
06CAB726XPvAibaEXe8zi/ZLIzSiuLmD7Jnj+Ekw, TMCL2019,,,,,,,,,,,,,,
06D3D633XPvAibaEXe+ai34rvuG7eBcAMYeGeXqe, KTPM2014,69.0,,,,,,,,,,,,,
06D413B1XPvAibaEXe+3bWVxnzRRwNg6g5IkrIob, KTPM2017,,,,,,,,,,,,,,
06DEC3FFXPvAibaEXe/twT+sf632fctdpzTwNzBW, MTCL2019,,,,,,,,,,,,,,
06EE19F0XPvAibaEXe/X5ZhFzI36lMJt224yvGay, PMCL2015 ,,,,,,,,,,,,,,
06EEDB7DXPvAibaEXe8E6yzSPpyFOfvrOcCQyyax, CTTT2018,,,,,,,,,,,,,,
06F130EDXPvAibaEXe96mG7+vayRPjKbnr1Br6bi, KHCL2019,,,,,,,,,,,,,,
06F4B388XPvAibaEXe8AEUw13Ud6Kn7PJ7EwNXGt, KTPM2014,54.0,,,,,,,,,,,,,
07041016XPvAibaEXe+iIJOpfrvDw0cyN3jgSrMf, PMCL2019,,,,,,,,,,,,,,
070648B8XPvAibaEXe//eUaw4J38K1LhhDp5NbpI, KTMT2015,,,,,,,,,,,,,,
0714AAFCXPvAibaEXe+n07P56kWx2K5jZFI+QYFv, CNTT2017,,,,,,,,,,,,,,
071ED53EXPvAibaEXe90z1QOLCQ2gtGCVejLRT52, KHTN2019,,,,,,,,,,,,,,
0726EC2DXPvAibaEXe+XNXOqfiZ3jB11oEq9FI4W, CTTT2014,86.0,80.0,,,,,,,,,,,,
073017B5XPvAibaEXe99GOtI/HwJhbPV+ZJNjoLY, ,,78.0,89.0,69.0,,,,,,,,,,
073CCB16XPvAibaEXe+Fy1phPq2H8pTMzaqE19dh, MMTT2018,,,,,,,,,,,,,,
07426A2DXPvAibaEXe/WIUWn3FBMGFtUuJbL3l6V, HTCL2015,,,,,,,,,,,,,,
074D6770XPvAibaEXe8XtTI6VHhlKNbBRQvxJav8, KTPM2018,,,,,,,,,,,,,,
074D8586XPvAibaEXe8s1xx8DWM0qvMydWkQI9z8, ,,88.0,79.0,87.0,,,,,,,,,,
075CAE0AXPvAibaEXe/7jEMhYBA6GRpJvL6kzgyG, KTMT2016,,,,,,,,,,,,,,
076028C7XPvAibaEXe9KS65t7Tb/qNPAjp/Vir5E, KHMT2016,,,,,,,,,,,,,,
07604F47XPvAibaEXe+6MN9FoW2mqQgwnVqNRjxt, ,,60.0,78.0,,,,,,,,,,,
07608346XPvAibaEXe/baq/wvVlH/ioEKQZTR4v2, CNTT2017,,,,,,,,,,,,,,
078D0A90XPvAibaEXe8zjuWfAVBr9RfmtHhE0FTo, ANTN2016,,,,,,,,,,,,,,
078E6C4EXPvAibaEXe+iXJpjy6UOMKV9AJg2HsFJ, ANTT2014,59.0,78.0,,,,,,,,,,,,
0794602AXPvAibaEXe9QSg4kScpiFw8hbgm4ujwa, HTTT2018,,,,,,,,,,,,,,
079AC3CCXPvAibaEXe8UkZVD+5XbrMQZiu8kPWJs, HTCL2019,,,,,,,,,,,,,,
079EAEDBXPvAibaEXe85hkLGQAJy3bkv6Jx+gOtD, ATCL2018,,,,,,,,,,,,,,
07A5DF5DXPvAibaEXe/iIkJq57vD7xT1F93WH+20, CNTT2015,,,,,,,,,,,,,,
07A6BB91XPvAibaEXe8xN1Ehxu1cbwH2ptHdj1dG, HTCL2019,,,,,,,,,,,,,,
07AE5C96XPvAibaEXe9FiaSoce50DNjROw8Ku1H9, ,,96.0,98.0,,,,,,,,,,,
07B199C7XPvAibaEXe8NowY/Kl2AXhRCYVw9Upq0, KTPM2017,,,,,,,,,,,,,,
